Sport,League,City,Team,Name,Lat,Long
Baseball,MLB,San Diego,padres,San Diego Padres,32.7076,-117.157
Baseball,MLB,San Francisco,giants,San Francisco Giants,37.7786,-122.3893
Hockey,NHL,Boston,bruines,Boston Bruins,42.3662,-71.0621
Hockey,NHL,Buffalo,sabres,Buffalo Sabres,42.8751,-78.8765
Hockey,NHL,Detroit,redwings,Detroit Red Wings,42.341,-83.055
Hockey,NHL,Sunrise,panthers,Florida Panthers,26.1585,-80.3256
Hockey,NHL,Montreal,canadiens,Montreal Canadiens,45.4961,-73.5693
Hockey,NHL,Ottawa,senators,Ottawa Senators,45.2969,-75.9268
Hockey,NHL,Tampa,lightning,Tampa Bay Lightning,27.9427,-82.4518
Hockey,NHL,Toronto,mapleleafs,Tornto Maple Leafs,43.6435,-79.3791
Hockey,NHL,Raleigh,hurricanes,Carolina Hurricanes,35.8033,-78.7218
Hockey,NHL,Columbus,bluejackets,Columbus Blue Jackets,39.9692,-83.0061
Hockey,NHL,Newark,devils,New Jersey Devils,40.7335,-74.171
Hockey,NHL,New York City,islanders,New York Islanders,40.6826,-73.9754
Hockey,NHL,New York City,rangers,New York Rangers,40.7505,-73.9934
Hockey,NHL,Philadelphia,flyers,Philadelphia Flyers,39.9012,-75.172
Hockey,NHL,Washington D.C.,capitals,Washington Capitals,38.8981,-77.0209
Hockey,NHL,Chicago,blackhawks,Chicago Blackhawks,41.8807,-87.6742
Hockey,NHL,Denver,avalanche,Colorado Avalanche,39.7487,-105.0077
Hockey,NHL,Dallas,stars,Dallas Stars,32.7905,-96.8104
Hockey,NHL,Saint Paul,wild,Minnesota Wild,44.9448,-93.1011
Hockey,NHL,Nashville,predators,Nashville Predators,36.1592,-86.7785
Hockey,NHL,St. Louis,blues,St. Louis Blues,38.6268,-90.2027
Hockey,NHL,Winnipeg,jets,Winnipeg Jets,49.8926,-97.1437
Hockey,NHL,Anaheim,ducks,Anaheim Ducks,33.8078,-117.8765
Hockey,NHL,Glendale,coyotes,Arizona Coyotes,33.5321,-112.2612
Hockey,NHL,Calgary,flames,Calgary Flames,51.0374,-114.0519
Hockey,NHL,Edmonton,oilers,Edmonton Oilers,53.547,-113.4979
Hockey,NHL,Los Angeles,kings,Los Angeles Kings,34.043,-118.2673
Hockey,NHL,San Jose,sharks,San Jose Sharks,37.3328,-121.9012
Hockey,NHL,Vancouver,canucks,Vancouver Canucks,49.2778,-123.1088
Hockey,NHL,Paradise,knights,Vegas Golden Knights,36.1029,-115.1784
